name,desc,link
CPython,"TheoriginalimplementationofPython,writteninC.",https://www.python.org/download/
IronPython,AfastPythonimplementationfor.NETandMono.,http://www.codeplex.com/wikipage?ProjectName=IronPython
Jython,A100%PureJavaimplementationofthePythonlanguage.,http://sourceforge.net/projects/jython/
Pythonfor.NET,"Packagegivesnearlyseamlessintegrationwith.NETCommonLanguageRuntime:CLR.Strongscriptingtool,allowsscriptingorbuildingfullprogramsinPython,using.NETservicesandcomponentscodedinanylanguagetargetingCLR:ManagedC++,C#,VB,JScript.",http://pythonnet.sourceforge.net/
StacklessPython,"Anexperimentalimplementationthatsupportscontinuations,generators,microthreads,andcoroutines.",http://www.stackless.com/
DataStructuresandAlgorithmswithObject-OrientedDesignPatternsinPython,Theprimarygoalofthisbookistopromoteobject-orienteddesignusingPythonandtoillustratetheuseoftheemergingobject-orienteddesignpatterns.Asecondarygoalofthebookistopresentmathematicaltoolsjustintime.Analysistechniquesandproofsarepresentedasneededandinthepropercontext.,http://www.brpreiss.com/books/opus7/html/book.html
DiveIntoPython3,"ByMarkPilgrim,GuidetoPython3anditsdifferencesfromPython2.Eachchapterstartswitharealcodesampleandexplainsitfully.HasacomprehensiveappendixofallthesyntacticandsemanticchangesinPython3",http://www.diveintopython.net/
FoundationsofPythonNetworkProgramming,"Thisbookcoversawiderangeoftopics.FromrawTCPandUDPtoencryptionwithTSL,andthentoHTTP,SMTP,POP,IMAP,andssh.ItgivesyouagoodunderstandingofeachfieldandhowtodoeverythingonthenetworkwithPython.",http://rhodesmill.org/brandon/2011/foundations-of-python-network-programming/
FreePythonbooks,FreePythonbooksandtutorials.,http://www.techbooksforfree.com/perlpython.shtml
FreeTechBooks:PythonScriptingLanguage,AnnotatedlistoffreeonlinebooksonPythonscriptinglanguage.Topicsrangefrombeginnertoadvanced.,http://www.freetechbooks.com/python-f6.html
HowtoThinkLikeaComputerScientist:LearningwithPython,"ByAllenB.Downey,JeffreyElkner,ChrisMeyers;GreenTeaPress,2002,ISBN0971677506.Teachesgeneralprinciplesofprogramming,viaPythonassubjectlanguage.Thorough,in-depthapproachtomanybasicandintermediateprogrammingtopics.Fulltextonlineanddownloads:HTML,PDF,PS,LaTeX.[Free,GreenTeaPress]",http://greenteapress.com/thinkpython/
AnIntroductiontoPython,"ByGuidovanRossum,FredL.Drake,Jr.;NetworkTheoryLtd.,2003,ISBN0954161769.Printededitionofofficialtutorial,forv2.x,fromPython.org.[NetworkTheory,online]",http://www.network-theory.co.uk/python/intro/
MakingUseofPython,"ByRashiGupta;JohnWileyandSons,2002,ISBN0471219754.Coverslanguagebasics,useforCGIscripting,GUIdevelopment,networkprogramming;showswhyitisoneofmoresophisticatedofpopularscriptinglanguages.[Wiley]",http://www.wiley.com/WileyCDA/WileyTitle/productCd-0471219754.html
PracticalPython,"ByMagnusLieHetland;ApressLP,2002,ISBN1590590066.Readableguidetoideasmostvitaltonewusers,frombasicscommontohighlevellanguages,tomorespecificaspects,toaseriesof10evermorecomplexprograms.[Apress]",http://hetland.org/writing/practical-python/
ProPythonSystemAdministration,"ByRytisSileika,ISBN13:978-1-4302-2605-5,Usesreal-worldsystemadministrationexampleslikemanagedeviceswithSNMPandSOAP,buildadistributedmonitoringsystem,managewebapplicationsandparsecomplexlogfiles,monitorandmanageMySQLdatabases.",http://sysadminpy.com/
ProgramminginPython3(SecondEdition),ACompleteIntroductiontothePython3.,http://www.qtrac.eu/py3book.html
Python2.1Bible,"ByDaveBrueck,StephenTanner;JohnWileyandSons,2001,ISBN0764548077.Fullcoverage,clearexplanations,hands-onexamples,fulllanguagereference;showsstepbystephowtousecomponents,assemblethem,formfull-featuredprograms.[JohnWileyandSons]",http://www.wiley.com/WileyCDA/WileyTitle/productCd-0764548077.html
Python3ObjectOrientedProgramming,"Astep-by-steptutorialforOOPinPython3,includingdiscussionandexamplesofabstraction,encapsulation,informationhiding,andraise,handle,define,andmanipulateexceptions.",https://www.packtpub.com/python-3-object-oriented-programming/book
PythonLanguageReferenceManual,"ByGuidovanRossum,FredL.Drake,Jr.;NetworkTheoryLtd.,2003,ISBN0954161785.Printededitionofofficiallanguagereference,forv2.x,fromPython.org,describessyntax,built-indatatypes.[NetworkTheory,online]",http://www.network-theory.co.uk/python/language/
PythonProgrammingwiththeJavaClassLibraries:ATutorialforBuildingWebandEnterpriseApplicationswithJython,"ByRichardHightower;Addison-Wesley,2002,0201616165.BeginswithPythonbasics,manyexercises,interactivesessions.Showsprogrammingnovicesconceptsandpracticalmethods.ShowsprogrammingexpertsPython'sabilitiesandwaystointerfacewithJavaAPIs.[publisherwebsite]",http://www.informit.com/store/product.aspx?isbn=0201616165&redir=1
SamsTeachYourselfPythonin24Hours,"ByIvanVanLaningham;SamsPublishing,2000,ISBN0672317354.Splitinto24hands-on,1hourlessons;stepsneededtolearntopic:syntax,languagefeatures,OOdesignandprogramming,GUIs(Tkinter),systemadministration,CGI.[SamsPublishing]",http://www.informit.com/store/product.aspx?isbn=0672317354
TextProcessinginPython,"ByDavidMertz;AddisonWesley.Bookinprogress,fulltext,ASCIIformat.Asksforfeedback.[authorwebsite,GnosisSoftware,Inc.]",http://gnosis.cx/TPiP/
XMLProcessingwithPython,"BySeanMcGrath;PrenticeHallPTR,2000,ISBN0130211192,hasCD-ROM.MethodstobuildXMLapplicationsfast,Pythontutorial,DOMandSAX,newPyxieopensourceXMLprocessinglibrary.[PrenticeHallPTR]",http://www.informit.com/store/product.aspx?isbn=0130211192
HapPythonRemoteDebugger,AremotedebuggerandIDEthatcanalsobeusedforlocaldebugging.,http://hapdebugger.sourceforge.net/
PyCrust-TheFlakiestPythonShell,"Aninteractive,graphicalPythonshellwritteninPythonusingwxPython.",http://sourceforge.net/projects/pycrust/
Pymerase,"Atoolintendedtogenerateapythonobjectmodel,relationaldatabase,andanobject-relationalmodelconnectingthetwousingUMLorXML.However,ithasbeenextendedtoalsooutputGUIwidgetsandcanbeeasilyextendedtooutputwhateverelseyoumightlike.[Opensource,MITLicense]",http://pymerase.sourceforge.net/
PyReverse,"AsetoftoolsforreverseengineeringPythoncode,includingcreationoffilesreadablebyArgoUML.Projectinformation,downloads,andbug-trackdetails.[OpenSource,GPL]",http://www.logilab.org/2560/
TixappsApplicationsFramework,"TixappsapplicationsareasuiteofdevelopmentapplicationsthatrunwithTk/TclorPython,usingtheTixwidgetset.[OpenSource,BSD-like]",http://tix.sourceforge.net/Tixapps/
Winpdb,"Anadvancedpythondebugger,withsupportforsmartbreakpoints,multiplethreads,namespacemodification,embeddeddebuggingandencryptedcommunication.",http://winpdb.org/
